Comment,Cleaned,Sentiment,Score
Ajj de episode ch Bacheya ne kamaal kar dita Ajj Da episode Dil nu chu jayega kee hona chaida agee koi suggestion dena chaounde hoo taan comment karke jror daseyo ji,ajj de episode ch bacheya ne kamaal kar dita ajj da episode dil nu chu jayega kee hona chaida agee koi suggestion dena chaounde hoo taan comment karke jror daseyo ji,neutral,0.0
Bachiya di.acting superb❤❤❤❤❤❤,bachiya di acting superb,positive,0.57494
Bore karta serial,bore karta serial,negative,-0.15
Very nice story,nice story,positive,0.49289999999999995
Super heart touching 💙 💖,super heart touching,positive,0.6731866666666666
Very nice,nice,positive,0.49289999999999995
😮😮,,neutral,0.0
Bachian di acting bohat wdia,bachian di acting bohat wdia,neutral,0.0
Butr ji tuhadi wife bilkul sach bol ri aa,butr ji tuhadi wife bilkul sach bol ri aa,neutral,0.0
So beautiful picture 🖼️🖼️🖼️🖼️🖼️,beautiful picture,positive,0.69964
Very nice vedo❤❤,nice vedo,positive,0.49289999999999995
Dono bachya di ecting super se uper hai ❤❤🎉🎉,dono bachya di ecting super se uper hai,positive,0.4929733333333334
Maa sadka ❤sohni acting,maa sadka sohni acting,neutral,0.0
Very nice video tejinder kaur moga 🎉🎉😂❤❤,nice video tejinder kaur moga,positive,0.49289999999999995
Dusry ka bura chahny bali Baljeet khud beta paida karky Rozy ko necha dikhana chahti hy....  Rozi ki betiyan hony pr apna dusra beta bady Bhai ko dy kr Mahan hony ka natak karegi taki bady ky hissy ki sari jameen bgra usky bety ko mill jaavy......God essy logon ky plan kabi pury hoty huy matt dikhana...galt msg jaega...bury oor bura karegy....Rozy ky sath achacha dikhana......Sai ka pardha paash hona chahiye.....taki log donhi baabaon ky chakkar mei na padyn.....,dusry ka bura chahny bali baljeet khud beta paida karky rozy ko necha dikhana chahti hy rozi ki betiyan hony pr apna dusra beta bady bhai ko dy kr mahan hony ka natak karegi taki bady ky hissy ki sari jameen bgra usky bety ko mill jaavy god essy logon ky plan kabi pury hoty huy matt dikhana galt msg jaega bury oor bura karegy rozy ky sath achacha dikhana sai ka pardha paash hona chahiye taki log donhi baabaon ky chakkar mei na padyn,positive,0.16391999999999998
❤❤,,neutral,0.0
Bachya the acting bhut sone a,bachya acting bhut sone,neutral,0.0
Very nice ❤❤,nice,positive,0.49289999999999995
❤❤,,neutral,0.0
Mano nu camera time zyada dita kro jnaab,mano nu camera time zyada dita kro jnaab,neutral,0.0
Kahani nu lamkaai jaan day o kisay pasay lao yaar.,kahani nu lamkaai jaan day kisay pasay lao yaar,neutral,0.0
Jaldi hi agla part liauna ji,jaldi hi agla part liauna ji,neutral,0.0
❤❤ nice ❤ story ❤❤,nice story,positive,0.49289999999999995
Pakistan day kisay likhaari naal rabta kro tuhaday wass da km ni story likhna,pakistan day kisay likhaari naal rabta kro tuhaday wass da km ni story likhna,neutral,0.0
❤❤❤❤❤❤,,neutral,0.0
