Comment,Cleaned,Sentiment,Score
Quality re🔥,quality,neutral,0.0
yee hua na abb alag content,yee hua na abb alag content,neutral,0.0
nice gameplay,nice gameplay,positive,0.49289999999999995
very good,good,positive,0.54424
"Janwar ho 😂. Yes it is 😂


Love from Anuj ☠️",janwar ho yes love anuj,positive,0.6707
Waah motu bhai,waah motu bhai,neutral,0.0
Guys 100k kara do 😢,guys 100k kara,neutral,0.0
jodd ho kya 🔥,jodd ho kya,neutral,0.0
2:21 SQUAD HOUSE WALE TO TIME PASS MAI HE PILL GYE😂😂😂😂😂,2 21 squad house wale time pass mai pill gye,neutral,0.0
"Love from B2 , Chandigarh University",love b2 chandigarh university,positive,0.58214
UPCOMING COMPITATIVE GOD ❤,upcoming compitative god,positive,0.16391999999999998
Khub bhalo,khub bhalo,neutral,0.0
🔥🔥,,neutral,0.0
Jodd gameplayyy 👌🏻,jodd gameplayyy,neutral,0.0
