Comment,Cleaned,Sentiment,Score
India Tour Date Jaldi . . . .  For More Instagram te Follow Kar lo TheComicSingh,india tour date jaldi instagram te follow kar lo thecomicsingh,neutral,0.0
Sachi swaad agyaa ..,sachi swaad agyaa,neutral,0.0
Great yrr without insulting anybody pure talent 😊,great yrr without insulting anybody pure talent,positive,0.5179047619047619
Pta nahi esi situation me mein aage kyu aajata hu 😢😂,pta nahi esi situation mein aage kyu aajata hu,neutral,0.0
Nice 😂😂🙏🙏,nice,positive,0.49289999999999995
ਭਰਾ ਰੋਜ਼ ਪਾਂਦੇ ਕਰੋ ਵੀਡੀਓ,,neutral,0.0
Please come to faridkot punjab brother please we also want to have you in our city,please come faridkot punjab brother please also want city,positive,0.35964
1:07 intro song keda aa???,1 07 intro song keda aa,neutral,0.0
Intro song ki aw????,intro song ki aw,neutral,0.0
Video thodi lambi upload krya kro ❤veere,video thodi lambi upload krya kro veere,neutral,0.0
"This is what you call ""punjabi tadkaa"".",call punjabi tadkaa,neutral,0.0
Paaji intro waala gaana das do,paaji intro waala gaana das,neutral,0.0
"मूर्ख होना ग़लत नहीं 
पर अकेले मूर्ख होना हानिकारक है 
इस लिए करण ४ के समूह में आया 
अब सूझवाँ बहभीत हैं के ये ४ मूर्ख क्या बोलेंगे",,neutral,0.0
Veere ghaint jehe paindu chutkule shehran layi improvise kar ke sunayo,veere ghaint jehe paindu chutkule shehran layi improvise kar ke sunayo,neutral,0.0
hahahahahahahaha mast,hahahahahahahaha mast,neutral,0.0
HERMANS !!!!!! Whaaaatttt???,hermans whaaaatttt,neutral,0.0
Kicked Azz !,kicked azz,neutral,0.0
"Brabri d tshrt (Burberry) 
Diyor da perfume (Dior) 😂😂😂😂😂😂",brabri tshrt burberry diyor da perfume dior,neutral,0.0
ਰੁਪਇਆ gurudware chadauna howe oh v mang k chadaundiyan😂😂😂😂😂,gurudware chadauna howe oh v mang k chadaundiyan,neutral,0.0
Sirra bro 😂😂,sirra bro,neutral,0.0
Parmatma ne ehna nu latt diti aahla kite v arha de😂😂,parmatma ne ehna nu latt diti aahla kite v arha de,neutral,0.0
😂😂😂😂,,neutral,0.0
Veer background song da ki name aa plz 🙏,veer background song da ki name aa plz,neutral,0.04632
Song name ki aa starting ch jo,song name ki aa starting ch jo,neutral,0.0
❤,,neutral,0.0
😅😂😅😂😅😂😅,,neutral,0.0
☑️☑️💯,,neutral,0.0
"Lol it's Hermes- sister definitely got a knock off.

His shows seem amazing! I will definitely watch him when I am in Punjab",lol 's hermes sister definitely got knock shows seem amazing definitely watch punjab,positive,0.68006
Bai sirra hai tu sirra najara leayata puri video ch,bai sirra hai tu sirra najara leayata puri video ch,neutral,0.0
"Please tell the name of your entry song
Or video starter?!",please tell name entry song video starter,positive,0.19091999999999998
astaad g is back❤😅,astaad g back,neutral,0.0
😂,,neutral,0.0
Plz full video upload krya kro,plz full video upload krya kro,positive,0.18631999999999999
❤❤❤❤,,neutral,0.0
🎉🎉🎉🎉🎉🎉🎉,,neutral,0.0
Pa ji ma Pakistan to a ty tady nal pyar pana a kithy milo gy,pa ji pakistan ty tady nal pyar pana kithy milo gy,positive,0.22907999999999998
Pa ji inii dair ku landy o video charan ty,pa ji inii dair ku landy video charan ty,positive,0.22907999999999998
"Veere start song keda aa 🙏
Ghaint 🕺",veere start song keda aa ghaint,neutral,0.0
"Oh wow 😍 
Amazing 😂😂

What a witty person 👌🏼👌🏼👌🏼

It's joy watching your comedy",oh wow amazing witty person 's joy watching comedy,positive,0.75878
💎💎,,neutral,0.0
😂😂😂❤❤❤,,neutral,0.0
Song name which is used in the intro part.?,song name used intro part,neutral,0.0
@Manpreetsinghcomedian this video is Nice 👍 but waiting for your more videos😊,manpreetsinghcomedian video nice waiting videos,positive,0.49289999999999995
O prava pta e ni lga khad katam ho gya galat gall ah veer g 20-25 mint dei video post karya karo,prava pta e ni lga khad katam ho gya galat gall ah veer g 20 25 mint dei video post karya karo,neutral,0.0
"As they say, experience matters. Swaad aa gaya paji",say experience matters swaad aa gaya paji,neutral,0.015479999999999999
dehradun ajaao sir plz,dehradun ajaao sir plz,neutral,0.04632
ragda singh keh kai point marr gya😂,ragda singh keh kai point marr gya,neutral,0.0
😂🔥,,neutral,0.0
Liked it,liked,positive,0.49289999999999995
Veere please eh gaana das do kehda laaaya hoeya har video ch...,veere please eh gaana das kehda laaaya hoeya har video ch,positive,0.19091999999999998
Labho karan kithe aa. Kr comment KARAN…,labho karan kithe aa kr comment karan,neutral,0.0
deor tha perfume lol,deor tha perfume lol,positive,0.5729
"Bro, tusi song keda lande ho? naa ki hega",bro tusi song keda lande ho naa ki hega,neutral,0.0
Bhai kya mast crowdwork kiya 😂😂,bhai kya mast crowdwork kiya,neutral,0.0
Mai halle puri video nai dekhi.. par starting wich hi aag la ti. Kara ta katedh nu chup. 🤣🤣🤣🤣🤣,mai halle puri video nai dekhi par starting wich hi aag la ti kara ta katedh nu chup,neutral,0.0
aaj kya muhurat hai kya sb comedy show upload kar rhe hai,aaj kya muhurat hai kya sb comedy show upload kar rhe hai,positive,0.21672
Bro just come from your live on instagram...❤,bro come live instagram,positive,0.05454545454545454
Roasted.... Veere hassa ee badra unda😂.. me v youtube valya vicho aa😅,roasted veere hassa ee badra unda v youtube valya vicho aa,neutral,0.0
finnally aagi video hong kong wala show bohot vadiya si,finnally aagi video hong kong wala show bohot vadiya si,neutral,0.0
